textID,text,selected_text,ground_truth_sentiment
4dad557268,says BAD TRIP! (angry)  http://plurk.com/p/wxshi,says BAD TRIP!,negative
f69a80cc7e,Missing my mother... t-11 days! HAPPY MOTHER`S DAY!!,HAPPY MOTHER`S DAY!!,positive
f93c297e3a,"am chillaxin after a busy BankHoliday, Hope everbody had a gd wkend! Holiday in 12 days!!!  ****","am chillaxin after a busy BankHoliday, Hope everbody had a gd wkend! Holiday in 12 days!!",positive
24489dcb26, that sounds foreboding...,that sounds foreboding...,negative
16729cf827, checked and commented,checked and commented,neutral
bb2ef8a121," pictures of your bliss?  In JPEG format?  Sorry, it`s message board terminology and u don`t play w/us on the boards","pictures of your bliss?  In JPEG format?  Sorry, it`s message board terminology and u don`t play w/us on the board",negative
073a1cef9b,dared to go back and look at that vid I made - I may take it down,dared to go back and look at that vid I made - I may take it down,neutral
b34b83c44e,"is really, really bored... I guess I will go to bed","is really, really bored...",negative
a7f72a928a, WOOOOOOOOOO   are you coming to Nottingham at any point?  lovelovelove<3,t?  lovelovelove,positive
1b79929075," Yeah, mine said 'That`s a nice picture' & gave me the red x!  Hope you get it working soon!",'That`s a nice picture',positive
39854df96d, It`s fun to see that glimpse of your life,s fun,positive
67beae3c7f," _kat I`ve begged my mum to lt me get them out the attic.. but she wont let me  Waaa... and yes, was spoilt! hehe!",s spoilt,negative
b18e3e1aa1,Hi Everyone miss me much?  muahhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh ;),Hi Everyone miss me much?  muahhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh ;),neutral
ef42dee96c,resting had a whole day of walking,resting had a whole day of walking,neutral
9191e574bb,I just stuck my finger down my throat and there are a bunch of bumps on my tongue & throat.,stuck,negative
7579b68067,"is excited to be visited by her twin and best friend! dinner, star gazing, and a movie!   // cool http://gykd.net","is excited to be visited by her twin and best friend! dinner, star gazing, and a movie!   // cool",positive
a260fd32ce,Can`t sleep but is happy that the Fugees are keeping him company,Can`t sleep but is happy that the Fugees are keeping him company,neutral
f4a743a972,Forgot my power cable at home today,Forgot my power cable at home today,neutral
e6f129e747,"Wow, it`s so early. Just had the best conversation.",best,positive
ac33177eec,Venti Black Ice Tea with 8 pumps of classic,Venti Black Ice Tea with 8 pumps of classic,neutral
